,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Click here to rate your burgers,Sheet by @steffenrusten,,,,,,,,,,,,,,,,,,,,,,,,,,
,Burger Name,Restaurant,Sort,Burger Description, Side?, Price, Beer, Price w/beer,Rating (1-5),, Dairy Free, Gluten Free, Vegetarian, Vegan, Nut Free,, Beef, Chicken, Duck, Lamb, Pork, Seafood, Sweet, Vegetarian, Venison, Alternative Meat, Other,, Pickles?, Chilli?, Fries?
,Marinara Moneyball,1154 Pastaria,1154 pastaria,"Italian-spiced pork and beef meatball with housemade marinara sauce, melted mozzarella and basil in a Brezelmania parmesan and rosemary steamed milk bun.",,$12,Noon Juice,$20,3.0,,,,,,Yes,,X,,,,X,,,,,,,,,,
,Wild Scotsman,1815 Café & Bar,1815 café & bar,"Wairarapa venison patty with beetroot chutney in a Scottish Mornington bun, with Prestons haggis bonbons and spiced redcurrant sauce.",Yes,$24,Fugazi,$34,,,,,,,,,,,,,,,,,X,,,,,,
,The Foghorn,7Bar & Eatery,7bar & eatery,"Chilli-glazed chicken thigh with smashed avocado, smoked cheese, tomato, gherkins, cos lettuce and aioli in a Zaida's milk bun, with paprika shoestring fries.",Yes,$20,,,,,,Possible,,,Possible,,,X,,,,,,,,,,,,X,X
,Risk it for the Brisket,Amador,amador,"Beef brisket patty with caramelised onions, bacon onion jam, Hanging Ditch pickles and smoked cheese in a Leeds Street Bakery polenta bun.",,$18,Noon Juice,$25,,,,,,,,,X,,,,,,,,,,,,X,,
,Rise of the Phoenix,Apachè,apachè,"Earthend mānuka honey and sriracha caramelised chicken with housemade kimchi, coriander and makrut lime in a fried spring onion bun with popcorn chicken, candied peanuts, makrut lime and chilli mayonnaise.",Yes,$22,DFA,$33,,,,,,,Possible,,,X,,,,,,,,,,,,X,
,"""Say Cheese"" said the Rarebit",Arborist Rooftop Bar & Eatery,arborist rooftop bar & eatery,"Rocket Smallgoods Angus beef patty with pork crackle crumb, tamarillo chutney, lettuce and pickles in a brioche bun, with jalapeño potato skins and a jug of Welsh rarebit cheese sauce made with Garage Project White Mischief.",Yes,$25,Pickle Beer,$35,,,,,Possible,,,,X,,,,X,,,,,,,,X,,
,The Hunter,Arcimboldi,arcimboldi,"Awatoru Wildfood venison patty with millionaire's bacon, fried onions, rocket and Dijon Zany Zeus crème fraîche in a Zaida's sesame bun, with housecut fries.",Yes,$24,Cereal Milk Stout,$34,,,Possible,,,,Yes,,,,,,,,,,X,,,,,,X
,The Flaming Tandoori Chook,Aro Bar,aro bar,"Flaming Tandoori chicken with curried crème fraîche slaw and pickled red onions in a housemade turmeric bun, with masala fries and tamarind mayonnaise.",Yes,$25,,,,,,,,,,,,X,,,,,,,,,,,X,,X
,The Poaka,Aro Cafe,aro cafe,"Pulled pork with Kingsmeade Tinui Blue, caramelised onions, salad and puha mayonnaise in a kawakawa infused brioche bun, with kūmara chips.",Yes,$22,Hāpi Daze,$32,,,,,,,,,,,,,X,,,,,,,,,,
,The Bene,Astoria,astoria,"Island Bay Butchery pork sausage patty with poached egg, bacon and hollandaise in a housemade English muffin bun, with potato pom poms.",,$21,Fugazi,$30,,,Possible,,,,Yes,,,,,,X,,,,,,,,,,
,"Wagyu, Truffle and Bordelaise",Atlas,atlas,"Wagyu chuck with truffle flavoured Zany Zeus mascarpone, smoked bone marrow and Bordelaise sauce in a pine nut brioche bun.",,$30,Pickle Beer,$40,,,,,,,,,X,,,,,,,,,,,,,,
,Roll Over... BOOMER!,The Backbencher Gastropub,backbencher gastropub,"Massaman pulled lamb with a brown basmati and wild rice rosti, Fix & Fogg savoy salsa, tomato, red onion and papadum in a chargrilled naan, with oven-baked Kashmiri red jacket wedges.",,$18,Bliss,$25,,,Yes,,Possible,Possible,,,,,,X,,,,,,,,,,,
,Oko NOMNOMNOM iyaki,BambuchiSan,bambuchisan,"Beef patty with housemade cheese, garlic and dill pickles and mustard in a okonomiyaki bun topped with tonkatsu, Japanese mayonnaise and bonito flakes.",,$23,Pickle Beer,$32,,,Possible,Possible,,,,,X,,,,,,,,,,,,X,,
,Fuji Fusion,Bao Boy,bao boy,"Wild Chef sweetcorn, kūmara, ginger and lemongrass patty with housemade edamame hummus, coconut dressed bok choy and housepickled red onions in a mini bao bun, with white corn chips.",Yes,$12,,,,,Yes,,,Yes,Yes,,,,,,,,,X,,,,,X,,
,Phantom of the Okra,Baobab cafe,baobab cafe,"Deep-fried okra with chilli mango chutney, pickled radish, red slaw and baba ganoush in a Zaida's blue bun.",,$18,Pils'n'Thrills,$27,,,Yes,Possible,Yes,Yes,,,,,,,,,,X,,,,,X,X,
,Buffalo Soldier,Beach Babylon,beach babylon,"Jerk-spiced buttermilk fried chicken with housemade buffalo sauce, rum cured and brown sugar candied pork belly, smoked pimento cheese fondue, buttercrunch lettuce, tomato, housepickled cucumber and smoky lime ranch in a Zaida's activated charcoal hemp seed bun, with fries and plantain chips.",Yes,$23,Noon Juice,$33,,,Possible,,Possible,Possible,Yes,,,X,,,X,,,,,,,,X,,X
,Ngā hua o Aotearoa,Beach Road Deli,beach road deli,"Smoked Awatoru Wildfood kahawai with pickled organic watercress, flaxseed crisps and Kāpiti Island mānuka sweetened mayonnaise in a sweet potato bun, with kūmara fries and butter sauce.",Yes,$25,,,,,Possible,Possible,,,Possible,,,,,,,,,,,,,,X,,X
,Hail Mary,Bebemos,bebemos,"Cereal-crusted churrasco chicken tenders with wild boar bacon, smoked cheese, micro celery salsa, Apostle Bloody Mary chutney in a Zaida's spirulina bun, with curly fry nachos, sour cream and Bloody Mary sauce.",,$22,Pickle Beer,$32,,,Possible,,Possible,Possible,Yes,,,X,,,,,,,,,,,,,
,Garden to Burger,Bellamys By Logan Brown,bellamys by logan brown,"Prime Angus beef patty with Garden to Table beetroot relish, zucchini pickles, lettuce, crispy onions, Zany Zeus feta whip and hot pepper sauce in a potato bun, with triple cooked beef fat fries.",Yes,$22,Noon Juice,$32,,,Possible,Possible,Possible,Possible,Yes,,X,,,,,,,,,,,,X,,X
,Smoked Out,Bellbird Eatery,bellbird eatery,"Mānuka smoked beef patty with mānuka smoked bacon, ranch slaw, melted smoked cheddar, housemade smoked tomato sauce in an Arobake milk bun, with double cooked chips.",Yes,$20,Hāpi Daze,$30,,,,,,,,,X,,,,,,,,,,,,,,
,The Big Rig,Best Ugly Bagels,best ugly bagels,"Beef patty with free range bacon, melted Swiss, pickles, red onion, mayonnaise, ketchup and mustard in a housemade jalapenõ and cheese bagel.",,$18,,,,,,,,,,,X,,,,,,,,,,,,X,,
,Dippy McDipperson,Bethel Woods,bethel woods,"Smoked brisket patty with pastrami, mustard sauce, housemade bread and butter pickles and smoked barbeque sauce in a Brezelmania potato bun, with kettle chips and cheese fondue dip.",Yes,$25,,,3.8,,Possible,Possible,,,,,,,,,,,,,,,,,X,,
,The Magnum P.I.E.,Bin44 Restaurant & Bar,bin44 restaurant & bar,"Chorizo pie with tomato salsa, tahini yoghurt and coriander in an Arobake milk bun.",,$23,Noon Juice,$34,,,,,Possible,,Yes,,,,,,,,,,,,,,,,
,The Capital,Bistro 169,bistro 169,"Beef patty with streaky bacon, Kāpiti smoked cheddar, roasted Parkvale Portobello mushroom, caramelised onions, mixed leaves, tomato, and Baxter's spicy bourbon BBQ sauce in a Pandoro milk bun, with chilli parmesan handcut fries and aioli.",Yes,$20,Pils'n'Thrills,$30,,,Possible,Possible,Possible,Possible,Possible,,X,,,,,,,,,,,,,X,X
,Phoenix in a Hurricane,The Blue Lady - Wellington Airport,blue lady - wellington airport,"Fried chicken with minted slaw, turmeric-pickled fennel, Baxter's Voodoo hot sauce and Kāpiti Havarti in a Brezelmania black and yellow potato bun, with Kiwi onion dip fries.",Yes,$25,,,,,,,,,Yes,,,X,,,,,,,,,,,X,,X
,The Kiwi Stacker,Boneface Brewing Co.,boneface brewing co.,"Char-grilled Wagyu patty with pineapple-cured housesmoked bacon, bacon and egg puree, pickled beetroot, tomato, lettuce and onion in a Pandoro sesame bun, with criss-cross fries and Zany Zeus cream cheese and onion dip.",Yes,$25,,,,,Possible,,,,,,X,,,,,,,,,,,,,,X
,Messypotamia,The Borough,borough,"Lamb kofta patty with red pepper, onion, shredded lettuce and Zany Zeus greek harissa yoghurt in a Brezelmania milk bun, with fries. *Available in kids and adult sized portions.",Yes,$24,Cereal Milk Stout,$33,,,,,,,,,,,,X,,,,,,,,,,,X
,The Greta Thunburger,The Botanist,botanist,"Housemade Swedish meatball-inspired vegan 'beef' patty with cumin gouda, cucumber ribbons, mushroom aioli, pickled red cabbage, dill mayonnaise and beetroot greens in a Pandoro charcoal bun, with hasselback potatoes.",,$22,Noon Juice,$32,,,Yes,,Yes,Yes,Possible,,X,,,,,,,X,,X,,,X,,
,The Whitebait Sarnie,Boulcott Street Bistro,boulcott street bistro,"Whitebait fritter with Yellow Brick Road crayfish flavoured butter, lemon tartare and cos lettuce in a white bun.",,$26,Bliss,$35,,,,Possible,,,Possible,,,,,,,X,,,,,,,,,
,Getting Piggy With It,Boundary Tap & Kitchen,boundary tap & kitchen,"Housesmoked roast pork shoulder, bacon, and pulled pickled pork with kawakawa slaw, cheese sauce, buttered sriracha, fried onion strings, smoked tomato relish and housemade black garlic aioli in a Bens Buns semi-sourdough bun, with handcut kūmara fries and black garlic aioli.",Yes,$26,Hāpi Daze,$35,,,Possible,Possible,,,Yes,,,,,,X,,,,,,,,X,,X
,Keep Your Feet on the Ground,Brew'd Boulcott,brew'd boulcott,"Bourbon and Havana coffee braised beef brisket with smashed beef patty, roast garlic aioli, BBQ sauce, Kāpiti smoked cheddar and spicy pickles in a Brezelmania potato bun, with bacon salt fries.",Yes,$24,Noon Juice,$33,,,Possible,,,,,,X,,,,,,,,,,,,X,,X
,The Cray Z,Brew'd Island Bay,brew'd island bay,"Beer-battered tarakihi with crayfish mayonnaise, bread and butter pickles, Kāpiti cheddar, and iceberg in a Brezelmania sesame bun, with salt and vinegar crinkle-cut fries.",Yes,$23,,,,,,,,,,,,,,,,X,,,,,,,X,,X
,Early Bird,Burger Liquor,burger liquor,"Cornflake fried chicken with salty 'n' sweet Wellington Honey butter, apple slaw and baconnaise in an Arobake cereal milk bun.",,$18,Hāpi Daze,$29,3.7,,,,,,,,,X,,,,,,,,,,,,,
,"Hi, Pearl - Wheat's The Matter",The Butcher and Brewer,butcher and brewer,"Spiced quinoa, roast barley and black bean patty with Wellington Honey, cashews, Kāpiti Tuteremoana Aged Cheddar, coleslaw, borlotti bean and tomato salsa and roast beetroot chutney in iceberg lettuce 'buns', with rosemary, garlic and chilli-salted handcut chips.",Yes,$23,Pickle Beer,$31,,,,,Yes,,,,,,,,,,,X,,,,,,X,
,The Bala Bala,Café Classic,café classic,"Indonesian-spiced vegetable patty with lettuce, tomato, spiced yellow pickle and mango chilli chutney in a Pandoro pumpkin bun, with housemade chunky chips.",Yes,$17,Bliss,$25,,,,,Yes,,Yes,,,,,,,,,X,,,,,X,X,
,Tongue 'n' Cheek,Café Medici,café medici,"Char-grilled beef patty with melted Kingsmeade Wairarapa Jack, slow-roasted beef cheeks marinated in Smoke and Oakum Gunpowder Rum, parmesan crusted ox tongue, green goddess aioli,  housemade bread and butter pickles and fried onion rings in a Borough Bakery sourdough bun, with handcut chips.",Yes,$25,Garagista,$34,,,Possible,Possible,,,Yes,,X,,,,,,,,,,,,X,,
,The Ralph Experience,Café Polo,café polo,"Pulled pork with crumbed mac 'n' cheese, kimchi and chilli sauce in a housemade sesame Asian-inspired milk bun with skin on shoestring fries and Korean BBQ sauce.",Yes,$24,Fuzz Box,$33,,,,,Possible,,Yes,,,,,,X,,,,,,,,,X,X
,The Bridge Burger,The Cambridge Hotel,cambridge hotel,"Masala-marinated chicken thigh with onion bhaji, pickled cucumber and mint yoghurt in Zaida's turmeric and cumin bun, with papadums.",,$19,,,,,,,Possible,,,,,X,,,,,,,,,,,X,,
,Holy Hamburguesa,Capitol Restaurant,capitol restaurant,"Spicy chorizo, bean and morcilla patty with roast peppers, sofrito, mayonnaise and rocket in a Pandoro pimento bun, with papas fritas.",,$26,Noon Juice,$38,,,,,,,,,,,,,,,,,,,,,,,
,Peanut Butter Me Up,Carrello del Gelato,carrello del gelato,"Chocolate coated peanut butter patty with Kāpiti Candies peanut brittle, mango slice, raspberry jelly and toffee sauce in a Clareville Bakery donut bun.",,$19,,,,,,,Possible,,,,,,,,,,X,,,,,,,,
,Spicy Expedition,Caucus Restaurant,caucus restaurant,"Housemade harissa braised lamb leg with Asian-inspired slaw, grilled cauliflower, feta and gherkin in a Pandoro dusted kaiser bun, with dukkah kūmara fries and jalapeño aioli.",Yes,$25,,,,,Possible,,,,Possible,,,,,X,,,,,,,,,,,X
,The Hog,Charley Noble Eatery & Bar,charley noble eatery & bar,"Free range pork patty with honey candied bacon, rocket, smoked Provolone, pickled feijoa, mustard and herb mayonnaise and caramelised onion in an Arobake honey ciabatta bun, with fries and pork crackling.",Yes,$29,DFA,$38,3.3,,,Possible,,,Yes,,,,,,X,,,,,,,,X,,X
,The Raging Pig,Choice Bros Ghuznee Street,choice bros ghuznee street,"Woody's Free Range Farm smoked porchetta, tobacco onions, nduja and rapini in a ciabatta bun.",,$25,Noon Juice,$35,4.0,,,,,,Yes,,,,,,,,,,,,,,,,
,Karaoke Korokke,Chow,chow,"Grass-fed Wagyu beef, cheese and potato korokke with housemade pickles, shredded lettuce, miso ranch and yuzukoshō in a Pandoro tōgarashi spiced bun, with tōgarashi spiced fries and wasabi mayonnaise.",Yes,$14,Bliss,$26,,,,,,Possible,Yes,,X,,,,,,,,,,,,X,,X
,Yorkie Boy,The Churchill,churchill,"Roast beef with a Yorkshire pudding filled with gravy, beef dripping, onions, honey-roasted carrot purée, horseradish and parsley mayonnaise and a parmesan crisp in a Brezelmania milk bun, with triple-cooked sage and onion roast potatoes.",,$18,,,,,,,,,,,X,,,,,,,,,,,,,,
,2 Nations,Circus Restaurant and Cinema,circus restaurant and cinema,"South Asian-inspired spiced Wagyu beef patty with sauteed seasonal vegetables, mango and pineapple chutney, deep-fried onion rings and palusami cream in an Arobake chilli brioche bun, with Cajun-spiced deep-fried prawns and taro crisps.",,$24,,,,,,Possible,Possible,,,,X,,,,,,,,,,,,,X,
,The Volcano,Coco's Bar & Grill,coco's bar & grill,"Pork and beef patty with lettuce, kimchi, vegetable fritter, egg, bacon and sweet onion sauce in a Zaida's milk bun, with straight cut fries.",Yes,$25,Cereal Milk Stout,$35,,,,,,,,,X,,,,X,,,,,,,,,,X
,Char Ta Ta,Coene's Bar & Eatery,coene's bar & eatery,"Charcoal infused Fortune Favours Wellingtonian beer-battered salt cured hake with dill American cheese, yuzu tartare sauce and sweet 'n' spicy pickles, in a Brezelmania turmeric potato bun, with salt and vinegar kettle fries.",Yes,$28,Pickle Beer,$37,,,Possible,,,,,,,,,,,,,,,,,,X,,X
,The Oh Sam,Comes & Goes,comes & goes,"Korean style sweet 'n' spicy shaved pork belly with prawn and squid croquette, pickled daikon and housemade Zany Zeus cheese sauce in an Arobake brioche bun, with crisscut potato chips.",Yes,$24,,,,,,,,,Yes,,,,,,X,,,,,,,,X,,
,The Hot D'urger,Concrete Bar,concrete bar,"Beef patty with cheese, onions, mustard, gherkin relish, BBQ sauce, mayonnaise and sausage in a Zaida's potato brioche bun, with potato crisps.",Yes,$19,Fugazi,$27,,,,,Possible,,,,X,,,,,,,,,,,,,,
,Tofu'lhu with Lovecraft Sauce,Counter Culture Board Game Cafe & Bar,counter culture board game cafe & bar,"Housemade 'bacon' flavoured green pea tofu with lentil cheese, cos lettuce, pickled Awatoru Wildfood bull kelp, brown sauce, tomato and chilli jam in a Zaida's green bun, with fries.",Yes,$20,Hophaus Alt,$29,,,Yes,Possible,Yes,Yes,Yes,,,,,,,,,X,,,X,,X,X,X
,Cluckin' Hell,The Crab Shack,crab shack,"24hr red pepper hot sauce marinated chicken thighs with gorgonzola, iceberg lettuce, red onion and pickles in an Arobake ciabatta bun.",,$18,Hāpi Daze,$28,,,,,,,Yes,,,X,,,,,,,,,,,X,,
,The Crafty Chook,Craft Beer & Pizza,craft beer & pizza,"Peri-peri chicken thigh with smashed avocado, fried halloumi, cos lettuce and ranch dressing in a Zaida's brioche bun, with fries.",Yes,$19,Fugazi,$27,,,,,,,,,,X,,,,,,,,,,,,,X
,Weekend At Béarnaise,The Crooked Elm,crooked elm,"Medium rare prime beef steak with Parkvale mushroom duxelles, spinach ragù puff pastry discs, burgundy syrup and béarnaise sauce in a brioche bun, with truffle and parmesan-infused handcut fries and The Bloody Butcher ketchup.",Yes,$26,Hāpi Daze,$34,,,,,,,,,X,,,,,,,,,,,,,,X
,Second Date,D4 on Allen,d4 on allen,"Fried chicken thigh marinated in ginger, chilli, sake and soy with red onion, iceberg lettuce, teriyaki sauce and wasabi mayonnaise in an Arobake panini seeded bun, with a pink ginger ribbon, sea salt and aonori shaken fries and sriracha mayonnaise.",Yes,$23,Pils'n'Thrills,$31,,,Yes,,,,Yes,,,X,,,,,,,,,,,,X,X
,Love @ First Bite,D4 on Featherston,d4 on featherston,"Karaage chicken thigh with red onion, iceberg, teriyaki sauce and Kewpie mayonnaise in an Arobake spirulina seeded bun topped with a sweet chicken meatball, pink ginger, with shichi-mi tōgarashi dusted edamame beans and potato and cabbage miso soup.",Yes,$25,Pils'n'Thrills,$33,,,,,,,Yes,,,X,,,,,,,,,,,,,
,The Roast Lamb Dinner,Daisy's,daisy's,"Slow-cooked lamb shoulder with gravy, mint sauce, pickled beetroot and watercress in a housemade sweet potato bun, with kūmara crisps and rosemary mayonnaise.",Yes,$20,Bliss,$30,,,,,,,,,,,,X,,,,,,,,,X,,
,Dom Kung,Danger Danger,danger danger,"Thai-inspired hoki croquette with tomato, red onion, coriander, mint, chilli, lettuce, housemade tartare sauce and ginger Zany Zeus crème fraîche in a brioche bun, with handcut skin-on lemon pepper fries and housemade sweet chilli sauce.",Yes,$19,,,,,,,,,,,,,,,,,,,,,,,,X,X
,Firestarter,Dillinger's,dillinger's,"28day dry-aged Wagyu brisket and chuck patty with housemade bread and butter pickles, Kāpiti smoked gruyère, truffle and bone marrow smoked onions and Russian dressing in a Brezelmania potato bun served on fire with Havana coffee and bone marrow broth, parmesan fries and truffle aioli.",Yes,$29,,,3.0,,,,,,,,X,,,,,,,,,,,,X,,X
,Bacon Drunken Love to You,Dirty Burger Cuba Street,dirty burger cuba street,"Beef patty with bacon bourbon jam, Kāpiti Awa Blue, sweet 'n' spicy pickles and black truffle mayonnaise in a toasted brioche bun, with pork fries and apple sauce.",Yes,$25,,,4.0,,,Possible,,,,,X,,,,X,,,,,,,,X,,X
,Alexis Texas,Dirty Burger Petone,dirty burger petone,"Beef patty with bacon, Kāpiti Pakari Smoked Cheddar sauce, Texan fried onions, pickles, ranch cream and smoky Texan BBQ sauce in a brioche bun, with crinkle-cut fries topped with pulled pork, golden BBQ sauce, cheese sauce and celery mayonnaise.",Yes,$25,,,4.3,,,Possible,,,Yes,,X,,,,X,,,,,,,,X,,X
,"It's a Bloody Burger, Mary",Dirty Little Secret,dirty little secret,"Worcester and Tabasco sauce beef patty with cos lettuce, pickle, and vodka and tomato chutney in a Pandoro bun, with a bacon, olive and cherry tomato skewer and corn chips.",Yes,$20,Hāpi Daze,$30,,,,,,,,,X,,,,,,,,,,,,X,,
,Dirty and Dill-icious,Dockside Restaurant & Bar,dockside restaurant & bar,"Beef patty with cheese, bacon, BBQ pulled pork, pickled red cabbage, dill pickles and Dijon mayonnaise in an Arobake horopito-spiced bun.",,$23,Pickle Beer,$34,,,Possible,Possible,Possible,Possible,Yes,,X,,,,X,,,,,,,,X,,
,The Dragon,Dragonfly,dragonfly,"Crispy free range Taiwanese chicken, cos lettuce, Taiwanese cucumber pickles, miso and green tea mayonnaise, and Chiu Chow chilli sauce in a Pandoro chilli flake milk bun, with corn fries sprinkled with lime and coconut salt.",Yes,$25,Noon Juice,$36,,,,,,,Yes,,,X,,,,,,,,,,,X,X,X
,Big Bang,Duke of Wellington,duke of wellington,"Pork sausage meatball with creamy mash and housemade onion jam in a Brezelmania milk bun, with an iceberg lettuce wedge and cosmic dressing.",,$23,Pickle Beer,$35,,,,,,,,,,,,,X,,,,,,,,,,
,Juicy Summer Baoger,The Dumpling Company (The Terrace Store),dumpling company (the terrace store),Beef patty with cheese and lettuce in a Woodhaven Gardens spinach and beetroot juice bun with Chinese-spiced edamame beans.,,$20,,,,,,,,,Yes,,X,,,,,,,,,,,,,,
,La Grande Gordita,Egmont St. Eatery,egmont st. eatery,"Free range pork and beef patty with manchego cheese and Serrano ham croquette, lettuce, sweet pickles and sobrasada mayonnaise in a housemade milk bun, with patates braves and aioli.",,$25,Noon Juice,$37,,,Possible,Possible,Possible,,Yes,,X,,,,X,,,,,,,,X,,
,Chicken Maryland,EKIM Burgers,ekim burgers,"Citrus crumbed chicken thigh with a corn fritter, Beehive bacon, rocket and aioli in a sesame seed bun.",,$13,,,,,,,,,,,,X,,,,,,,,,,,,,
,Sloppy José,El Barrio,el barrio,"Pork and jalapeño ragu with refried beans, pasilla and salsa fresca in an Arobake buttermilk bun, with corn chips and refried bean dip.",Yes,$22,DFA,$30,,,,,,,Yes,,,,,,X,,,,,,,,,,
,Dar Papaya,El Culo del Mundo,el culo del mundo,"50day aged grass-fed Wairarapa brisket and chuck patty with Uruguayan chorizo patty, smoked cheese and pomegranate chimichurri in a steamed potato bun, with shoestring fries and housemade seasoning.",Yes,$23,Fuzz Box,$33,,,,,,,,,,,,,,,,,,,,,,,X
,Cheeky Freak,"El Matador - Café, Asador Grill & Bar","el matador - café, asador grill & bar","Sticky braised beef cheek with citrus beetroot sauerkraut, apple and smoked chive Zany Zeus crema in a brioche bun.",,$20,Noon Juice,$29,,,,,,,,,X,,,,,,,,,,,,,,
,Jaca-mole,Enigma Cafe,enigma cafe,Spiced jackfruit with Kāpiti Smoked Havarti and red coleslaw in a Brezelmania brioche bun.,,$16,Bliss,$26,,,Possible,Possible,Yes,Possible,Yes,,,,,,,,,X,,,,,,,
,Sunday Roast,Eva Beva,eva beva,"Roasted lamb shoulder with port jelly lamb's liver pâté, thyme roasted potatoes, pea and Zany Zeus feta smash and red wine jus in an Arobake buttermilk bun, with kūmara crisps.",,$25,Cereal Milk Stout,$33,,,,,,,Yes,,,,,X,,,,,,,,,,,
,The Ashes of the Raj Mahal,The Featherston City Tavern,featherston city tavern,"Masala-spiced chicken breast with pickled cucumber slaw and mayonnaise in an Arobake turmeric milk bun, with papadum crisps.",,$20,Pils'n'Thrills,$30,,,,,,,,,,X,,,,,,,,,,,X,,
,Pearly Queen,Field & Green,field & green,"Anglo-Indian-spiced fried chicken with Coronation curried coleslaw in a Shelly Bay Baker milk bun, with papadum and raita.",,$21,Noon Juice,$31,,,,,,,Yes,,,X,,,,,,,,,,,,,
,Flamin' Go,Flamingo Joes,flamingo joes,"Beef patty with chimichurri, Kāpiti Te Horo Swiss, mānuka candied bacon, cream cheese, avocado and pickled red onions in a Brezelmania potato bun, with triple cooked chips and housemade tomato relish.",Yes,$25,,,,,,,,,Yes,,X,,,,,,,,,,,,X,,
,All at Sea,Floriditas,floriditas,"Yellow Brick Road mussel rosti with crispy Cameron Harrison bacon, pāua XO aioli, slaw and pickled kelp in a smoked paprika Brezelmania bun.",,$20,Pickle Beer,$27,,,,,,,,,,,,,,X,,,,,,,X,,
,Brinner Time,Food Envy,food envy,"Buttermilk fried chicken drizzled in maple syrup, with red cabbage and kimchi slaw with maple candied Harrington's bacon bits, baby cos lettuce, in two housemade crumpets.",,$18,,,4.7,,,,,,Yes,,,X,,,,,,,,,,,,,
